adPlatform,name,nameContains,applyTo,actionType,actionFixedCentsInfo,actionLimitCentsInfo,actionPercentInfo,blockConditions,blockOperator,calculationPeriod,frequencyType,frequencyOncePerDayHour,intervalStartTime,intervalEndTime,executionLimit,timeZoneIana,scope
Meta,Activar todas a las 0 horas a ver como rinden,,PausedCampaigns,Enable,,,,"[{""field"":""roi"",""operator"":""GreaterThan"",""valueA"":1.3,""valueB"":null}]",And,LastSevenDays,OncePerDay,0,,,,,
Meta,Duplicar a $25 - Gasto -$10 +2 ventas ROI +1.3,,ActiveAdsets,IncreaseBudget,,2500,2.5,"[{""field"":""approvedSales"",""operator"":""GreaterThan"",""valueA"":2,""valueB"":null},{""field"":""roi"",""operator"":""GreaterThan"",""valueA"":1.3,""valueB"":null},{""field"":""spend"",""operator"":""LessThan"",""valueA"":1000,""valueB"":null},{""field"":""budget"",""operator"":""LessThan"",""valueA"":1100,""valueB"":null}]",And,Today,Each15Mins,,,,,,
Meta,Duplicar a $75 - Gasto +$15 ROI +1.3,,ActiveAdsets,IncreaseBudget,,7500,2.5,"[{""field"":""roi"",""operator"":""GreaterThan"",""valueA"":1.3,""valueB"":null},{""field"":""spend"",""operator"":""GreaterThan"",""valueA"":1500,""valueB"":null},{""field"":""budget"",""operator"":""GreaterThan"",""valueA"":2000,""valueB"":null},{""field"":""budget"",""operator"":""LessThan"",""valueA"":3000,""valueB"":null}]",And,Today,Each15Mins,,,,,,
Meta,Duplicar a $150 - Gasto +$50 ROI +1.3,,ActiveAdsets,IncreaseBudget,,15000,2.5,"[{""field"":""roi"",""operator"":""GreaterThan"",""valueA"":1.3,""valueB"":null},{""field"":""spend"",""operator"":""GreaterThan"",""valueA"":5000,""valueB"":null}]",And,Today,Each15Mins,,,,,,
Meta,Apagar - Gasto +$10 ROI -1.10,,ActiveAdsets,Pause,,,,"[{""field"":""roi"",""operator"":""LessThan"",""valueA"":1.1,""valueB"":null},{""field"":""spend"",""operator"":""GreaterThan"",""valueA"":700,""valueB"":null}]",And,Today,Each15Mins,,,,,,
Meta,Apagar - Gasto +$4 sin ventas,,ActiveAdsets,Pause,,,,"[{""field"":""spend"",""operator"":""GreaterThan"",""valueA"":400,""valueB"":null},{""field"":""approvedSales"",""operator"":""LessThan"",""valueA"":0,""valueB"":null}]",And,Today,Each15Mins,,,,,,
